,State,"AI Office: The government should establish an AI office to study AI’s impacts on society, evaluate frontier AI systems for risks, and make non-binding recommendations to AI developers about how to reduce societal risks.",Funding: Governments should establish programs for funding scientific research on understanding and mitigating the societal risks of AI.,System registration: Companies who make frontier AI systems should be required to register those systems with the government.,Risk-management policies: Companies developing frontier AI systems should be required to write and publicly share reports on their company policies for assessing and managing societal risks.,System documentation: AI companies should be required to write and publicly share reports about what uses their frontier AI systems are designed for and how they are meant to behave.,Risk assessment reports: AI companies should be required to write and publicly share risk assessment reports for their frontier systems.,Third-party evaluations: AI companies building frontier models should be required to have a third party evaluate them for risks and publicly share a report on their findings.,Government approval: Companies developing frontier AI systems should be required to submit reports on risk evaluations and obtain government approval from a designated AI office before deploying their systems.,Safety requirements: Government AI agencies should have the authority to make and enforce concrete safety standards for frontier AI systems.,"Staged deployment: Companies deploying frontier AI systems should be required to deploy them gradually in stages and monitor impacts at each stage. 
For example, developers could be required to first release a system with limited access to users before giving users full access later.","Content labeling: To inform humans about what kind of content they are viewing, AI-generated content (images, videos, text) should be required to be clearly labeled as AI-generated.","File labeling: To help track the origins of data (known as digital forensics), regulators should require that AI-generated content (images, videos, text) are saved using file formats which indicate that they are AI-generated.","Shutdown procedures: AI companies building autonomous frontier AI systems should be required to report on what, if any, shutdown procedures they have in place for them.",Whistleblower protections: Policymakers should establish legal protections for employees of AI companies who raise concerns about company risk management practices or report potential violations of laws.,Q45,Incident reporting: AI companies building frontier models should be required to publicly report on incidents which involve harms to humans health or large economic damages.,Direct liability: AI companies should be held liable for direct harms caused by their systems as if those systems were their employees.,Indirect liability: Companies that make frontier AI systems should be held legally responsible for indirect damages their systems cause if it a court establishes that the company could have anticipated these problems.,"Slower development: Should governments work to slow down the development of AI until we have more protections in place to reduce risks, even if it delays benefits of the new technology?",What is your age?,What best describes your gender?,What best describes the highest level of education you have completed?,What best describes your employment status?,"What industry sector(s), if any, do you have work experience in? (if employed):",What best describes your familiarity with AI technology?,What best describes how often you interact with AI systems such as ChatGPT in your daily life?,What best describes your political orientation?,What best describes where you live?
0,CA,Support,Support,Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Support,Strongly Support,Support,Neutral,Support,Strongly Support,Support,Neutral,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Moderate,Urban
1,CA,Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Oppose,Strongly Support,35-44,Male,Associate's degree,Employed part-time,Retail,Moderately familiar,Approximately weekly,Somewhat liberal,Suburban
2,CA,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Strongly Support,Support,Oppose,35-44,Male,Bachelor's degree,Employed full-time,Other,Moderately familiar,Approximately weekly,Moderate,Urban
3,CA,Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Oppose,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Strongly Support,Oppose,Strongly Oppose,25-34,Male,High school graduate or equivalent,Employed full-time,Manufacturing,Moderately familiar,Approximately weekly,Somewhat liberal,Suburban
4,CA,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,25-34,Male,Bachelor's degree,Self-employed,"Technology/IT,Government/Public Sector",Moderately familiar,Almost never,Very liberal,Urban
5,CA,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,45-54,Male,"Some college, no degree",Unemployed,"Education,Finance/Banking,Retail",Moderately familiar,Approximately monthly,Very liberal,Urban
6,CA,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Oppose,45-54,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Moderate,Suburban
7,CA,Strongly Support,Support,Support,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Support,25-34,Female,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Somewhat liberal,Urban
8,CA,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,55-64,Female,"Some college, no degree",Employed full-time,Other,Moderately familiar,Approximately weekly,Somewhat liberal,Rural
9,CA,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,45-54,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Moderate,Urban
